,budget,genres,id,keywords,overview,production_companies,runtime,tagline,title,vote_average,vote_count
12,110000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",163,"[{""id"": 9663, ""name"": ""sequel""}, {""id"": 159480, ""name"": ""fabergé egg""}, {""id"": 159488, ""name"": ""dutch eastindian company""}, {""id"": 159490, ""name"": ""second""}, {""id"": 159491, ""name"": ""part""}, {""id"": 159496, ""name"": ""golden egg""}, {""id"": 159497, ""name"": ""goon""}]","Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam â but a Europol agent is hot on their heels.","[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Section Eight"", ""id"": 129}, {""name"": ""Jerry Weintraub Productions"", ""id"": 2596}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""WV Films III"", ""id"": 12202}]",125.0,Twelve is the new eleven.,Ocean's Twelve,6.4,2124
13,20000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",68812,"[{""id"": 586, ""name"": ""new jersey""}, {""id"": 1946, ""name"": ""restaurant""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 4580, ""name"": ""van""}, {""id"": 5638, ""name"": ""arrest""}, {""id"": 6259, ""name"": ""psychopath""}, {""id"": 9672, ""name"": ""based on true story""}, {""id"": 9890, ""name"": ""jail""}, {""id"": 11260, ""name"": ""serial murder""}, {""id"": 14831, ""name"": ""stabbing""}, {""id"": 33421, ""name"": ""crime family""}, {""id"": 33702, ""name"": ""bombing""}, {""id"": 157481, ""name"": ""ice cream man  ""}, {""id"": 168179, ""name"": ""drug deal""}, {""id"": 177964, ""name"": ""contract killer""}, {""id"": 190636, ""name"": ""crime syndicate""}, {""id"": 238192, ""name"": ""poisoning""}]","The true story of Richard Kuklinski, the notorious contract killer and family man.","[{""name"": ""Bleiberg Entertainment"", ""id"": 1872}, {""name"": ""Millennium Films"", ""id"": 10254}]",105.0,Loving husband. Devoted father. Ruthless killer.,The Iceman,6.4,365
14,85000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",157350,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 14751, ""name"": ""youth""}, {""id"": 162988, ""name"": ""dystopic future""}, {""id"": 180492, ""name"": ""caste system""}, {""id"": 211389, ""name"": ""divergent""}, {""id"": 223438, ""name"": ""based on young adult novel""}]","In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.","[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}]",139.0,What makes you different makes you dangerous.,Divergent,6.9,4663
15,32000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]",45612,"[{""id"": 258, ""name"": ""bomb""}, {""id"": 1284, ""name"": ""identity""}, {""id"": 2486, ""name"": ""fantasy""}, {""id"": 2532, ""name"": ""bomber""}, {""id"": 3301, ""name"": ""suspicion""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 9887, ""name"": ""surrealism""}, {""id"": 13065, ""name"": ""soldier""}, {""id"": 14605, ""name"": ""helicopter pilot""}]","Decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, discovering he's involved in a mission to find the bomber of a Chicago commuter train. He learns he's part of a top-secret experimental program that enables him to experience the final 8 minutes of another person's life. Colter re-lives the train incident over and over again, gathering more clues each time. But can he discover who is responsible for the attack before the next one happens?","[{""name"": ""The Mark Gordon Company"", ""id"": 1557}, {""name"": ""Vendome Pictures"", ""id"": 7460}]",93.0,Make Every Second Count,Source Code,7.1,2699
16,80000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",11324,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 2041, ""name"": ""island""}, {""id"": 2215, ""name"": ""hurricane""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 10323, ""name"": ""psychiatric hospital""}, {""id"": 11207, ""name"": ""u.s. marshal""}, {""id"": 11208, ""name"": ""conspiracy theory""}, {""id"": 208611, ""name"": ""1950s""}]","World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.","[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""Phoenix Pictures"", ""id"": 11317}, {""name"": ""Sikelia Productions"", ""id"": 23243}]",138.0,Someone is missing.,Shutter Island,7.8,6336
17,72000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",25,"[{""id"": 1589, ""name"": ""sniper""}, {""id"": 4405, ""name"": ""marine corps""}, {""id"": 5174, ""name"": ""saudi arabia""}, {""id"": 5175, ""name"": ""petrol""}, {""id"": 161236, ""name"": ""golf war""}, {""id"": 188114, ""name"": ""u.s. marine""}]","Jarhead is a film about a US Marine Anthony Swoffordâs experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.","[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Neal Street Productions"", ""id"": 1522}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}, {""name"": ""Motion Picture KAPPA Produktionsgesellschaft"", ""id"": 19934}]",125.0,Welcome to the suck.,Jarhead,6.6,765
18,6500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",4836,"[{""id"": 1930, ""name"": ""kidnapping""}, {""id"": 1941, ""name"": ""ecstasy""}, {""id"": 2149, ""name"": ""drug traffic""}, {""id"": 2235, ""name"": ""drug mule""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 3045, ""name"": ""mission of murder""}, {""id"": 3152, ""name"": ""planned murder""}, {""id"": 3391, ""name"": ""drug smuggle""}, {""id"": 6502, ""name"": ""exit""}, {""id"": 9826, ""name"": ""murder""}]","When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin...","[{""name"": ""Sony Pictures Classics"", ""id"": 58}, {""name"": ""Marv Films"", ""id"": 5374}]",105.0,,Layer Cake,7.0,559
19,61000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",136400,"[{""id"": 1568, ""name"": ""undercover""}, {""id"": 4654, ""name"": ""undercover agent""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10594, ""name"": ""money""}, {""id"": 10718, ""name"": ""fugitive""}, {""id"": 15363, ""name"": ""bank robbery""}, {""id"": 156805, ""name"": ""dea agent""}]",A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,"[{""name"": ""Universal Studios"", ""id"": 13}, {""name"": ""Marc Platt Productions"", ""id"": 2527}, {""name"": ""Emmett/Furla Films"", ""id"": 10405}, {""name"": ""Envision Entertainment Corporation"", ""id"": 11030}]",109.0,"2 Guns, 1 Bank.",2 Guns,6.6,1589
20,100000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",4982,"[{""id"": 240, ""name"": ""underdog""}, {""id"": 577, ""name"": ""black people""}, {""id"": 2149, ""name"": ""drug traffic""}, {""id"": 3391, ""name"": ""drug smuggle""}, {""id"": 3679, ""name"": ""society""}, {""id"": 3734, ""name"": ""ambition""}, {""id"": 6974, ""name"": ""rise and fall""}, {""id"": 8015, ""name"": ""cop""}, {""id"": 11733, ""name"": ""drug dealing""}, {""id"": 11734, ""name"": ""police corruption""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 14536, ""name"": ""crime""}, {""id"": 15167, ""name"": ""police detective""}, {""id"": 18035, ""name"": ""family""}, {""id"": 163081, ""name"": ""law enforcement""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 193305, ""name"": ""dishonesty""}, {""id"": 206701, ""name"": ""criminal heroes""}]","Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Based on a true story.","[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Film Rites"", ""id"": 8083}]",157.0,There are two sides to the American dream,American Gangster,7.4,1502
21,50000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",9631,"[{""id"": 417, ""name"": ""corruption""}, {""id"": 1562, ""name"": ""hostage""}, {""id"": 6125, ""name"": ""pension""}, {""id"": 6139, ""name"": ""innocence""}, {""id"": 6149, ""name"": ""police""}, {""id"": 7188, ""name"": ""hostage-taking""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10410, ""name"": ""conspiracy""}, {""id"": 14677, ""name"": ""bullet wound""}, {""id"": 209140, ""name"": ""negotiator""}]","The police try to arrest expert hostage negotiator Danny Roman, who insists he's being framed for his partner's murder in what he believes is an elaborate conspiracy. Thinking there's evidence in the Internal Affairs offices that might clear him, he takes everyone in the office hostage and demands that another well-known negotiator be brought in to handle the situation and secretly investigate the conspiracy.","[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Warner Bros."", ""id"": 6194}]",140.0,He frees hostages for a living. Now he's taking hostages to survive.,The Negotiator,6.8,582
22,41000000,"[{""id"": 18, ""name"": ""Drama""}]",65,"[{""id"": 30, ""name"": ""individual""}, {""id"": 542, ""name"": ""street gang""}, {""id"": 704, ""name"": ""adolescence""}, {""id"": 897, ""name"": ""rap music""}, {""id"": 898, ""name"": ""hip-hop""}, {""id"": 899, ""name"": ""rhyme battle""}, {""id"": 900, ""name"": ""trailer park""}, {""id"": 6325, ""name"": ""ethnic stereotype""}, {""id"": 9457, ""name"": ""single""}, {""id"": 18021, ""name"": ""detroit""}, {""id"": 190187, ""name"": ""eminem""}]","The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.","[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Mikona Productions GmbH & Co. KG"", ""id"": 24}]",110.0,Every moment is another chance.,8 Mile,6.8,1626
23,120000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",324668,"[{""id"": 782, ""name"": ""assassin""}, {""id"": 1453, ""name"": ""amnesia""}, {""id"": 187844, ""name"": ""flashback""}]",The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,"[{""name"": ""The Kennedy/Marshall Company"", ""id"": 862}, {""name"": ""Captivate Entertainment"", ""id"": 25716}, {""name"": ""Pearl Street Films"", ""id"": 29313}, {""name"": ""Double Negative"", ""id"": 31922}, {""name"": ""Perfect World (Beijing) Pictures Co."", ""id"": 83871}]",123.0,You know his name,Jason Bourne,5.9,2341
24,100000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}]",1372,"[{""id"": 526, ""name"": ""rebel""}, {""id"": 736, ""name"": ""journalist""}, {""id"": 917, ""name"": ""journalism""}, {""id"": 1465, ""name"": ""loss of family""}, {""id"": 2831, ""name"": ""slavery""}, {""id"": 3070, ""name"": ""mercenary""}, {""id"": 3379, ""name"": ""diamond mine""}, {""id"": 5417, ""name"": ""sierra leone""}, {""id"": 5419, ""name"": ""bootlegger""}, {""id"": 5420, ""name"": ""fisherman""}, {""id"": 5422, ""name"": ""special unit""}, {""id"": 6212, ""name"": ""smuggling""}, {""id"": 33617, ""name"": ""genocide in rwanda""}, {""id"": 158455, ""name"": ""oppression""}]","An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.","[{""name"": ""Bedford Falls Productions"", ""id"": 348}, {""name"": ""Lonely Film Productions GmbH & Co. KG."", ""id"": 430}, {""name"": ""Virtual Studios"", ""id"": 449}, {""name"": ""Spring Creek Productions"", ""id"": 705}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Initial Entertainment Group (IEG)"", ""id"": 7380}, {""name"": ""Liberty Pictures"", ""id"": 20938}]",143.0,It will cost you everything.,Blood Diamond,7.3,2281
